0,1,2
Buy,2010-01-29,0.88414
Sell,2010-04-20,0.92989
Buy,2010-05-11,0.89545
Sell,2010-06-25,0.86721
Buy,2010-09-30,0.96532
Sell,2010-12-31,1.02292
Buy,2011-01-14,0.98844
Sell,2011-03-30,1.03163
Buy,2011-05-23,1.0496
Sell,2011-06-20,1.0601
Buy,2011-08-22,1.03928
Sell,2011-12-08,1.01768
Buy,2011-12-29,1.01383
Sell,2012-01-16,1.03198
Buy,2012-05-14,0.99709
Sell,2012-05-31,0.97192
Buy,2012-06-18,1.01107
Sell,2012-07-05,1.02804
Buy,2012-08-30,1.02781
Sell,2012-09-10,1.03312
Buy,2012-11-21,1.03812
Sell,2012-12-07,1.04837
Buy,2013-01-31,1.04303
Sell,2013-04-25,1.02917
Buy,2013-07-22,0.92563
Sell,2013-09-10,0.92989
Buy,2013-10-04,0.94344
Sell,2013-10-23,0.96414
Buy,2013-11-18,0.93671
Sell,2014-01-17,0.87776
Buy,2014-05-05,0.9283
Sell,2014-06-11,0.93802
Buy,2014-07-16,0.93645
Sell,2014-11-07,0.86313
Buy,2014-11-25,0.85581
Sell,2015-01-01,0.81791
Buy,2015-06-08,0.76871
Sell,2015-07-06,0.74746
Buy,2015-09-23,0.69971
Sell,2015-10-21,0.72122
Buy,2015-12-09,0.72326
Sell,2015-12-28,0.72556
Buy,2016-01-20,0.69403
Sell,2016-03-11,0.75644
Buy,2016-05-02,0.7662
Sell,2016-06-09,0.74126
Buy,2016-08-09,0.76624
Sell,2016-08-29,0.75749
Buy,2016-11-08,0.77436
Sell,2016-12-12,0.74963
Buy,2017-01-30,0.75649
Sell,2017-02-08,0.76313
Buy,2017-03-09,0.75071
Sell,2017-04-07,0.74967
Buy,2017-08-03,0.79569
Sell,2017-09-11,0.8023
Buy,2017-09-27,0.78494
Sell,2017-11-30,0.75622
Buy,2018-02-06,0.7893
Sell,2018-04-11,0.77619
Buy,2018-05-21,0.7581
Sell,2018-06-14,0.74648
Buy,2018-07-17,0.73772
Sell,2018-07-31,0.7419
Buy,2018-09-12,0.71706
Sell,2018-11-19,0.72948
Buy,2019-01-30,0.72533
Sell,2019-03-08,0.70423
Buy,2019-04-15,0.71728
Sell,2019-06-06,0.69735
Buy,2019-06-18,0.68808
Sell,2019-07-02,0.69937
Buy,2019-07-30,0.68739
Sell,2019-10-30,0.68969
Buy,2019-12-12,0.69252
Sell,2020-01-08,0.68749
Buy,2020-02-03,0.66893
Sell,2020-05-29,0.6665
Buy,2020-07-14,0.69876
Sell,2020-08-21,0.71598
Buy,2020-09-14,0.72827
Sell,2020-11-18,0.72962
Buy,2021-05-05,0.77506
Sell,2021-11-08,0.7414
Buy,2022-02-09,0.71765
Sell,2022-07-20,0.68835
Buy,2022-10-06,0.64137
Sell,2022-12-01,0.68098
Buy,2022-12-23,0.6713
Sell,2023-09-08,0.63746
Buy,2023-12-05,0.65542
Sell,2024-01-01,0.68089
Buy,2024-03-19,0.65248
Sell,2024-04-09,0.66278
Buy,2024-05-14,0.66233
Sell,2024-07-10,0.67511
