0,1,2
Buy,2017-11-09,1.99
Sell,2017-11-30,1.95
Buy,2018-02-06,8.263
Sell,2018-04-11,12.33
Buy,2018-05-21,14.6996
Sell,2018-06-14,14.867
Buy,2018-07-17,13.7398
Sell,2018-07-31,13.8369
Buy,2018-09-12,9.2081
Sell,2018-11-19,6.6844
Buy,2019-01-30,6.1388
Sell,2019-03-08,14.2931
Buy,2019-04-15,19.2666
Sell,2019-06-06,31.0888
Buy,2019-06-18,34.4333
Sell,2019-07-02,31.9777
Buy,2019-07-30,26.9867
Sell,2019-10-30,20.052
Buy,2019-12-12,14.7238
Sell,2020-01-08,14.5334
Buy,2020-02-01,18.2752
Sell,2020-05-29,17.0031
Buy,2020-07-14,18.079
Sell,2020-08-21,22.0988
Buy,2020-09-14,31.2523
Sell,2020-11-18,28.0931
Buy,2021-05-05,651.1
Sell,2021-11-08,653.5
Buy,2022-02-09,422.9
Sell,2022-07-20,258.2
Buy,2022-10-06,287.0
Sell,2022-12-01,292.3
Buy,2022-12-23,246.2
Sell,2023-09-08,214.7
Buy,2023-12-05,231.2
Sell,2024-01-01,313.5
Buy,2024-03-19,507.7
Sell,2024-04-09,580.5
Buy,2024-05-14,567.1
Sell,2024-07-10,524.7
