0,1,2
Buy,2017-09-27,4193.0
Sell,2017-11-30,9838.96
Buy,2018-02-06,7652.14
Sell,2018-04-11,6953.79
Buy,2018-05-21,8381.24
Sell,2018-06-14,6635.98
Buy,2018-07-17,7317.44
Sell,2018-07-31,7730.93
Buy,2018-09-12,6338.62
Sell,2018-11-19,4910.03
Buy,2019-01-30,3458.18
Sell,2019-03-08,3864.89
Buy,2019-04-15,5024.95
Sell,2019-06-06,7786.7
Buy,2019-06-18,9081.55
Sell,2019-07-02,10842.85
Buy,2019-07-30,9574.21
Sell,2019-10-30,9154.72
Buy,2019-12-12,7198.08
Sell,2020-01-08,8055.98
Buy,2020-02-01,9384.61
Sell,2020-05-29,9427.07
Buy,2020-07-14,9255.85
Sell,2020-08-21,11531.34
Buy,2020-09-14,10671.77
Sell,2020-11-18,17776.12
Buy,2021-05-05,57436.11
Sell,2021-11-08,67525.83
Buy,2022-02-09,44372.72
Sell,2022-07-20,23223.3
Buy,2022-10-06,19960.67
Sell,2022-12-01,16977.37
Buy,2022-12-23,16778.5
Sell,2023-09-08,25910.5
Buy,2023-12-05,44073.32
Sell,2024-01-01,44179.55
Buy,2024-03-19,61937.4
Sell,2024-04-09,69146.0
Buy,2024-05-14,61577.49
Sell,2024-07-10,57725.85
