0,1,2
Buy,2019-07-30,0.0027885
Sell,2019-10-30,0.0025936
Buy,2019-12-12,0.0021344
Sell,2020-01-08,0.0020886
Buy,2020-02-01,0.002417
Sell,2020-05-29,0.0025303
Buy,2020-07-14,0.0032888
Sell,2020-08-21,0.0033776
Buy,2020-09-14,0.0027851
Sell,2020-11-18,0.0029085
Buy,2021-05-05,0.654
Sell,2021-11-08,0.2819
Buy,2022-02-09,0.1594
Sell,2022-07-20,0.07014
Buy,2022-10-06,0.06345
Sell,2022-12-01,0.10175
Buy,2022-12-23,0.07721
Sell,2023-09-08,0.06371
Buy,2023-12-05,0.09435
Sell,2024-01-01,0.09199
Buy,2024-03-19,0.12881
Sell,2024-04-09,0.18912
Buy,2024-05-14,0.14552
Sell,2024-07-10,0.108
