0,1,2
Buy,2017-09-27,309.74
Sell,2017-11-30,427.43
Buy,2018-02-06,779.25
Sell,2018-04-11,429.52
Buy,2018-05-21,696.7
Sell,2018-06-14,519.29
Buy,2018-07-17,498.76
Sell,2018-07-31,432.22
Buy,2018-09-12,183.12
Sell,2018-11-19,150.81
Buy,2019-01-30,108.29
Sell,2019-03-08,133.52
Buy,2019-04-15,159.95
Sell,2019-06-06,248.76
Buy,2019-06-18,264.66
Sell,2019-07-02,291.48
Buy,2019-07-30,209.58
Sell,2019-10-30,183.13
Buy,2019-12-12,144.87
Sell,2020-01-08,140.72
Buy,2020-02-01,183.6
Sell,2020-05-29,220.67
Buy,2020-07-14,240.44
Sell,2020-08-21,387.97
Buy,2020-09-14,377.12
Sell,2020-11-18,478.41
Buy,2021-05-05,3524.26
Sell,2021-11-08,4807.98
Buy,2022-02-09,3243.94
Sell,2022-07-20,1521.58
Buy,2022-10-06,1352.06
Sell,2022-12-01,1276.41
Buy,2022-12-23,1219.99
Sell,2023-09-08,1636.44
Buy,2023-12-05,2293.33
Sell,2024-01-01,2352.04
Buy,2024-03-19,3158.64
Sell,2024-04-09,3506.39
Buy,2024-05-14,2881.93
Sell,2024-07-10,3101.05
