0,1,2
Buy,2010-01-29,1.38605
Sell,2010-04-20,1.34216
Buy,2010-05-11,1.26387
Sell,2010-06-25,1.23671
Buy,2010-09-30,1.36295
Sell,2010-12-31,1.33852
Buy,2011-01-14,1.33868
Sell,2011-03-30,1.41269
Buy,2011-05-23,1.40134
Sell,2011-06-20,1.43615
Buy,2011-08-22,1.43571
Sell,2011-12-08,1.33455
Buy,2011-12-29,1.2952
Sell,2012-01-16,1.26659
Buy,2012-05-14,1.28297
Sell,2012-05-31,1.23619
Buy,2012-06-18,1.25959
Sell,2012-07-05,1.23921
Buy,2012-08-30,1.25092
Sell,2012-09-10,1.27613
Buy,2012-11-21,1.28638
Sell,2012-12-07,1.29253
Buy,2013-01-31,1.36115
Sell,2013-04-25,1.30038
Buy,2013-07-22,1.31909
Sell,2013-09-10,1.32673
Buy,2013-10-04,1.35569
Sell,2013-10-23,1.37785
Buy,2013-11-18,1.35017
Sell,2014-01-17,1.35389
Buy,2014-05-05,1.38746
Sell,2014-06-11,1.35357
Buy,2014-07-16,1.35281
Sell,2014-11-07,1.24533
Buy,2014-11-25,1.24795
Sell,2015-01-01,1.20869
Buy,2015-06-08,1.128
Sell,2015-07-06,1.10472
Buy,2015-09-23,1.11874
Sell,2015-10-21,1.13459
Buy,2015-12-09,1.10147
Sell,2015-12-28,1.09745
Buy,2016-01-20,1.08746
Sell,2016-03-11,1.11468
Buy,2016-05-02,1.15234
Sell,2016-06-09,1.13097
Buy,2016-08-09,1.11176
Sell,2016-08-29,1.11904
Buy,2016-11-08,1.10177
Sell,2016-12-12,1.06421
Buy,2017-01-30,1.07075
Sell,2017-02-08,1.06913
Buy,2017-03-09,1.05794
Sell,2017-04-07,1.05889
Buy,2017-08-03,1.18822
Sell,2017-09-11,1.19577
Buy,2017-09-27,1.17497
Sell,2017-11-30,1.18979
Buy,2018-02-06,1.23803
Sell,2018-04-11,1.23719
Buy,2018-05-21,1.17899
Sell,2018-06-14,1.15633
Buy,2018-07-17,1.1653
Sell,2018-07-31,1.1689
Buy,2018-09-12,1.16253
Sell,2018-11-19,1.1454
Buy,2019-01-30,1.14853
Sell,2019-03-08,1.12311
Buy,2019-04-15,1.13043
Sell,2019-06-06,1.12755
Buy,2019-06-18,1.11978
Sell,2019-07-02,1.12904
Buy,2019-07-30,1.11568
Sell,2019-10-30,1.11521
Buy,2019-12-12,1.11833
Sell,2020-01-08,1.11129
Buy,2020-02-03,1.10623
Sell,2020-05-29,1.11036
Buy,2020-07-14,1.14099
Sell,2020-08-21,1.17949
Buy,2020-09-14,1.18671
Sell,2020-11-18,1.18451
Buy,2021-05-05,1.20074
Sell,2021-11-08,1.15877
Buy,2022-02-09,1.14211
Sell,2022-07-20,1.01807
Buy,2022-10-06,0.97888
Sell,2022-12-01,1.05278
Buy,2022-12-23,1.06172
Sell,2023-09-08,1.06974
Buy,2023-12-05,1.07932
Sell,2024-01-01,1.10365
Buy,2024-03-19,1.08616
Sell,2024-04-09,1.08588
Buy,2024-05-14,1.08138
Sell,2024-07-10,1.08333
