0,1,2
Buy,2010-01-29,1.59883
Sell,2010-04-20,1.5363
Buy,2010-05-11,1.49525
Sell,2010-06-25,1.5056
Buy,2010-09-30,1.57305
Sell,2010-12-31,1.56081
Buy,2011-01-14,1.58661
Sell,2011-03-30,1.60806
Buy,2011-05-23,1.60716
Sell,2011-06-20,1.62341
Buy,2011-08-22,1.64569
Sell,2011-12-08,1.56351
Buy,2011-12-29,1.54137
Sell,2012-01-16,1.53204
Buy,2012-05-14,1.60973
Sell,2012-05-31,1.53961
Buy,2012-06-18,1.56842
Sell,2012-07-05,1.55283
Buy,2012-08-30,1.57866
Sell,2012-09-10,1.59906
Buy,2012-11-21,1.59675
Sell,2012-12-07,1.60347
Buy,2013-01-31,1.58688
Sell,2013-04-25,1.54325
Buy,2013-07-22,1.53638
Sell,2013-09-10,1.57303
Buy,2013-10-04,1.6006
Sell,2013-10-23,1.61632
Buy,2013-11-18,1.61119
Sell,2014-01-17,1.64206
Buy,2014-05-05,1.68671
Sell,2014-06-11,1.67898
Buy,2014-07-16,1.71379
Sell,2014-11-07,1.5866
Buy,2014-11-25,1.57195
Sell,2015-01-01,1.55786
Buy,2015-06-08,1.53415
Sell,2015-07-06,1.5598
Buy,2015-09-23,1.52479
Sell,2015-10-21,1.542
Buy,2015-12-09,1.51786
Sell,2015-12-28,1.48908
Buy,2016-01-20,1.41977
Sell,2016-03-11,1.43821
Buy,2016-05-02,1.46612
Sell,2016-06-09,1.4463
Buy,2016-08-09,1.30123
Sell,2016-08-29,1.31053
Buy,2016-11-08,1.23841
Sell,2016-12-12,1.26757
Buy,2017-01-30,1.24997
Sell,2017-02-08,1.2523
Buy,2017-03-09,1.21555
Sell,2017-04-07,1.23678
Buy,2017-08-03,1.31437
Sell,2017-09-11,1.31688
Buy,2017-09-27,1.33979
Sell,2017-11-30,1.35292
Buy,2018-02-06,1.39572
Sell,2018-04-11,1.41872
Buy,2018-05-21,1.34309
Sell,2018-06-14,1.32543
Buy,2018-07-17,1.31047
Sell,2018-07-31,1.31185
Buy,2018-09-12,1.30439
Sell,2018-11-19,1.28557
Buy,2019-01-30,1.31156
Sell,2019-03-08,1.30111
Buy,2019-04-15,1.3099
Sell,2019-06-06,1.26942
Buy,2019-06-18,1.25655
Sell,2019-07-02,1.25972
Buy,2019-07-30,1.21569
Sell,2019-10-30,1.2901
Buy,2019-12-12,1.34728
Sell,2020-01-08,1.31051
Buy,2020-02-03,1.29963
Sell,2020-05-29,1.23454
Buy,2020-07-14,1.25684
Sell,2020-08-21,1.30881
Buy,2020-09-14,1.2848
Sell,2020-11-18,1.32512
Buy,2021-05-05,1.39083
Sell,2021-11-08,1.35632
Buy,2022-02-09,1.35322
Sell,2022-07-20,1.19674
Buy,2022-10-06,1.11605
Sell,2022-12-01,1.22578
Buy,2022-12-23,1.20335
Sell,2023-09-08,1.24652
Buy,2023-12-05,1.25938
Sell,2024-01-01,1.27274
Buy,2024-03-19,1.27174
Sell,2024-04-09,1.26767
Buy,2024-05-14,1.25836
Sell,2024-07-10,1.28537
