0,1,2
Buy,2010-01-29,147.03
Sell,2010-04-20,159.52
Buy,2010-05-11,149.78
Sell,2010-06-25,166.52
Buy,2010-09-30,213.58
Sell,2010-12-31,190.9
Buy,2011-01-14,174.96
Sell,2011-03-30,180.56
Buy,2011-05-23,174.96
Sell,2011-06-20,197.34
Buy,2011-08-22,194.39
Sell,2011-12-08,197.84
Buy,2011-12-29,174.41
Sell,2012-01-16,188.65
Buy,2012-05-14,230.02
Sell,2012-05-31,258.99
Buy,2012-06-18,230.37
Sell,2012-07-05,244.9
Buy,2012-08-30,231.61
Sell,2012-09-10,267.09
Buy,2012-11-21,290.67
Sell,2012-12-07,308.9
Buy,2013-01-31,304.01
Sell,2013-04-25,309.85
Buy,2013-07-22,294.96
Sell,2013-09-10,275.93
Buy,2013-10-04,264.84
Sell,2013-10-23,285.22
Buy,2013-11-18,279.63
Sell,2014-01-17,290.42
Buy,2014-05-05,291.47
Sell,2014-06-11,324.29
Buy,2014-07-16,336.18
Sell,2014-11-07,305.11
Buy,2014-11-25,279.08
Sell,2015-01-01,292.14
Buy,2015-06-08,332.05
Sell,2015-07-06,370.05
Buy,2015-09-23,344.1
Sell,2015-10-21,367.6
Buy,2015-12-09,362.3
Sell,2015-12-28,382.8
Buy,2016-01-20,337.2
Sell,2016-03-11,331.3
Buy,2016-05-02,354.7
Sell,2016-06-09,359.55
Buy,2016-08-09,396.85
Sell,2016-08-29,426.55
Buy,2016-11-08,413.5
Sell,2016-12-12,405.75
Buy,2017-01-30,428.85
Sell,2017-02-08,513.8
Buy,2017-03-09,478.9
Sell,2017-04-07,531.15
Buy,2017-08-03,654.45
Sell,2017-09-11,631.4
Buy,2017-09-27,572.3
Sell,2017-11-30,577.8
Buy,2018-02-06,555.4
Sell,2018-04-11,559.4
Buy,2018-05-21,560.5
Sell,2018-06-14,609.6
Buy,2018-07-17,596.1
Sell,2018-07-31,648.65
Buy,2018-09-12,590.9
Sell,2018-11-19,522.4
Buy,2019-01-30,494.75
Sell,2019-03-08,511.1
Buy,2019-04-15,529.9
Sell,2019-06-06,490.85
Buy,2019-06-18,455.25
Sell,2019-07-02,495.45
Buy,2019-07-30,452.25
Sell,2019-10-30,414.1
Buy,2019-12-12,413.95
Sell,2020-01-08,440.6
Buy,2020-02-01,409.6
Sell,2020-05-29,318.65
Buy,2020-07-14,360.1
Sell,2020-08-21,412.45
Buy,2020-09-14,419.6
Sell,2020-11-18,406.95
Buy,2021-05-05,508.35
Sell,2021-11-08,602.4
Buy,2022-02-09,579.8
Sell,2022-07-20,459.05
Buy,2022-10-06,430.4
Sell,2022-12-01,457.85
Buy,2022-12-23,424.55
Sell,2023-09-08,584.25
Buy,2023-12-05,644.05
Sell,2024-01-01,779.9
Buy,2024-03-19,739.65
Sell,2024-04-09,871.45
Buy,2024-05-14,802.75
Sell,2024-07-10,915.75
