0,1,2
Buy,2010-01-29,4882.05
Sell,2010-04-20,5230.1
Buy,2010-05-11,5136.14
Sell,2010-06-25,5269.05
Buy,2010-09-30,6029.95
Sell,2010-12-31,6134.5
Buy,2011-01-14,5654.55
Sell,2011-03-30,5787.65
Buy,2011-05-23,5386.55
Sell,2011-06-20,5257.9
Buy,2011-08-22,4898.8
Sell,2011-12-08,4943.64
Buy,2011-12-29,4646.25
Sell,2012-01-16,4873.89
Buy,2012-05-14,4907.8
Sell,2012-05-31,4924.25
Buy,2012-06-18,5064.25
Sell,2012-07-05,5327.3
Buy,2012-08-30,5315.05
Sell,2012-09-10,5363.45
Buy,2012-11-21,5614.8
Sell,2012-12-07,5907.4
Buy,2013-01-31,6034.75
Sell,2013-04-25,5916.3
Buy,2013-07-22,6031.8
Sell,2013-09-10,5896.75
Buy,2013-10-04,5907.3
Sell,2013-10-23,6178.35
Buy,2013-11-18,6189.0
Sell,2014-01-17,6261.65
Buy,2014-05-05,6699.35
Sell,2014-06-11,7626.85
Buy,2014-07-16,7624.4
Sell,2014-11-07,8337.0
Buy,2014-11-25,8463.1
Sell,2015-01-01,8284.0
Buy,2015-06-08,8044.1
Sell,2015-07-06,8522.15
Buy,2015-09-23,7845.95
Sell,2015-10-21,8251.7
Buy,2015-12-09,7612.5
Sell,2015-12-28,7925.15
Buy,2016-01-20,7309.3
Sell,2016-03-11,7510.2
Buy,2016-05-02,7805.9
Sell,2016-06-09,8203.6
Buy,2016-08-09,8678.25
Sell,2016-08-29,8607.45
Buy,2016-11-08,8543.55
Sell,2016-12-12,8170.8
Buy,2017-01-30,8632.75
Sell,2017-02-08,8769.05
Buy,2017-03-09,8927.0
Sell,2017-04-07,9198.3
Buy,2017-08-03,10013.65
Sell,2017-09-11,10006.05
Buy,2017-09-27,9735.75
Sell,2017-11-30,10226.55
Buy,2018-02-06,10498.25
Sell,2018-04-11,10417.15
Buy,2018-05-21,10516.7
Sell,2018-06-14,10808.05
Buy,2018-07-17,11008.05
Sell,2018-07-31,11356.5
Buy,2018-09-12,11369.9
Sell,2018-11-19,10763.4
Buy,2019-01-30,10651.8
Sell,2019-03-08,11035.4
Buy,2019-04-15,11690.35
Sell,2019-06-06,11843.75
Buy,2019-06-18,11691.5
Sell,2019-07-02,11910.3
Buy,2019-07-30,11085.4
Sell,2019-10-30,11844.1
Buy,2019-12-12,11971.8
Sell,2020-01-08,12025.35
Buy,2020-02-01,11661.85
Sell,2020-05-29,9580.29
Buy,2020-07-14,10607.35
Sell,2020-08-21,11371.6
Buy,2020-09-14,11440.05
Sell,2020-11-18,12938.25
Buy,2021-05-05,14617.85
Sell,2021-11-08,18068.55
Buy,2022-02-09,17463.8
Sell,2022-07-20,16520.85
Buy,2022-10-06,17331.8
Sell,2022-12-01,18812.5
Buy,2022-12-23,17806.8
Sell,2023-09-08,19819.95
Buy,2023-12-05,20855.1
Sell,2024-01-01,21741.9
Buy,2024-03-19,21817.45
Sell,2024-04-09,22642.75
Buy,2024-05-14,22217.85
Sell,2024-07-10,24324.45
