0,1,2
Buy,2015-06-08,17432.6
Sell,2018-12-03,26857.55
Buy,2019-01-30,26825.5
Sell,2019-03-08,27761.8
Buy,2019-04-15,30104.25
Sell,2019-06-06,30857.4
Buy,2019-06-18,30351.0
Sell,2019-07-02,31283.3
Buy,2019-07-30,28791.6
Sell,2019-10-30,29987.5
Buy,2019-12-12,31665.45
Sell,2020-01-08,31373.65
Buy,2020-02-01,29820.9
Sell,2020-05-29,19297.25
Buy,2020-07-14,21392.2
Sell,2020-08-21,22299.6
Buy,2020-09-14,22101.25
Sell,2020-11-18,29749.85
Buy,2021-05-05,32783.7
Sell,2021-11-08,39438.25
Buy,2022-02-09,38610.25
Sell,2022-07-20,35972.1
Buy,2022-10-06,39282.85
Sell,2022-12-01,43260.65
Buy,2022-12-23,41668.05
Sell,2023-09-08,45156.4
Buy,2023-12-05,47012.25
Sell,2024-01-01,48234.3
Buy,2024-03-19,46384.8
Sell,2024-04-09,48730.55
Buy,2024-05-14,47859.45
Sell,2024-07-10,52189.3
