0,1,2
Buy,2010-01-29,498.6
Sell,2010-04-20,506.7
Buy,2010-05-11,508.9
Sell,2010-06-25,506.6
Buy,2010-09-30,470.55
Sell,2010-12-31,504.6
Buy,2011-01-14,477.3
Sell,2011-03-30,492.1
Buy,2011-05-23,433.4
Sell,2011-06-20,397.15
Buy,2011-08-22,360.8
Sell,2011-12-08,371.2
Buy,2011-12-29,339.3
Sell,2012-01-16,339.8
Buy,2012-05-14,324.7
Sell,2012-05-31,336.3
Buy,2012-06-18,342.65
Sell,2012-07-05,352.05
Buy,2012-08-30,373.35
Sell,2012-09-10,377.5
Buy,2012-11-21,367.55
Sell,2012-12-07,397.75
Buy,2013-01-31,422.6
Sell,2013-04-25,390.65
Buy,2013-07-22,433.25
Sell,2013-09-10,424.35
Buy,2013-10-04,407.2
Sell,2013-10-23,427.4
Buy,2013-11-18,416.9
Sell,2014-01-17,421.7
Buy,2014-05-05,451.25
Sell,2014-06-11,525.25
Buy,2014-07-16,471.7
Sell,2014-11-07,467.3
Buy,2014-11-25,473.25
Sell,2015-01-01,423.15
Buy,2015-06-08,422.0
Sell,2015-07-06,484.0
Buy,2015-09-23,405.3
Sell,2015-10-21,455.15
Buy,2015-12-09,436.5
Sell,2015-12-28,481.55
Buy,2016-01-20,478.75
Sell,2016-03-11,483.5
Buy,2016-05-02,470.4
Sell,2016-06-09,462.85
Buy,2016-08-09,491.25
Sell,2016-08-29,504.0
Buy,2016-11-08,478.25
Sell,2016-12-12,489.55
Buy,2017-01-30,497.95
Sell,2017-02-08,488.6
Buy,2017-03-09,613.25
Sell,2017-04-07,670.4
Buy,2017-08-03,786.45
Sell,2017-09-11,779.6
Buy,2017-09-27,761.75
Sell,2017-11-30,878.4
Buy,2018-02-06,850.35
Sell,2018-04-11,887.3
Buy,2018-05-21,887.75
Sell,2018-06-14,960.8
Buy,2018-07-17,1041.2
Sell,2018-07-31,1130.5
Buy,2018-09-12,1193.9
Sell,2018-11-19,1096.2
Buy,2019-01-30,1139.75
Sell,2019-03-08,1207.8
Buy,2019-04-15,1277.45
Sell,2019-06-06,1265.25
Buy,2019-06-18,1221.05
Sell,2019-07-02,1218.65
Buy,2019-07-30,1125.65
Sell,2019-10-30,1409.9
Buy,2019-12-12,1494.8
Sell,2020-01-08,1442.35
Buy,2020-02-01,1318.6
Sell,2020-05-29,1395.85
Buy,2020-07-14,1827.3
Sell,2020-08-21,1984.4
Buy,2020-09-14,2194.8
Sell,2020-11-18,1894.2
Buy,2021-05-05,1830.25
Sell,2021-11-08,2384.85
Buy,2022-02-09,2271.95
Sell,2022-07-20,2385.85
Buy,2022-10-06,2308.75
Sell,2022-12-01,2595.85
Buy,2022-12-23,2385.1
Sell,2023-09-08,2448.2
Buy,2023-12-05,2437.75
Sell,2024-01-01,2590.25
Buy,2024-03-19,2850.5
Sell,2024-04-09,2927.3
Buy,2024-05-14,2840.15
Sell,2024-07-10,3168.45
