0,1,2
Buy,2010-01-29,137.4
Sell,2010-04-20,156.79
Buy,2010-05-11,158.28
Sell,2010-06-25,152.15
Buy,2010-09-30,217.29
Sell,2010-12-31,258.89
Buy,2011-01-14,233.97
Sell,2011-03-30,247.15
Buy,2011-05-23,223.49
Sell,2011-06-20,184.22
Buy,2011-08-22,145.84
Sell,2011-12-08,186.55
Buy,2011-12-29,177.25
Sell,2012-01-16,211.48
Buy,2012-05-14,287.52
Sell,2012-05-31,230.53
Buy,2012-06-18,235.42
Sell,2012-07-05,237.45
Buy,2012-08-30,234.24
Sell,2012-09-10,246.26
Buy,2012-11-21,262.68
Sell,2012-12-07,278.91
Buy,2013-01-31,294.84
Sell,2013-04-25,290.19
Buy,2013-07-22,294.69
Sell,2013-09-10,345.89
Buy,2013-10-04,346.33
Sell,2013-10-23,370.67
Buy,2013-11-18,388.09
Sell,2014-01-17,365.78
Buy,2014-05-05,410.05
Sell,2014-06-11,441.02
Buy,2014-07-16,465.31
Sell,2014-11-07,527.69
Buy,2014-11-25,516.31
Sell,2015-01-01,498.45
Buy,2015-06-08,435.6
Sell,2015-07-06,431.1
Buy,2015-09-23,310.3
Sell,2015-10-21,381.45
Buy,2015-12-09,393.95
Sell,2015-12-28,394.0
Buy,2016-01-20,342.25
Sell,2016-03-11,354.25
Buy,2016-05-02,407.7
Sell,2016-06-09,467.15
Buy,2016-08-09,513.8
Sell,2016-08-29,525.3
Buy,2016-11-08,540.2
Sell,2016-12-12,454.4
Buy,2017-01-30,532.3
Sell,2017-02-08,513.05
Buy,2017-03-09,467.6
Sell,2017-04-07,468.3
Buy,2017-08-03,431.45
Sell,2017-09-11,375.3
Buy,2017-09-27,404.9
Sell,2017-11-30,404.15
Buy,2018-02-06,375.45
Sell,2018-04-11,355.8
Buy,2018-05-21,295.9
Sell,2018-06-14,305.9
Buy,2018-07-17,257.95
Sell,2018-07-31,264.1
Buy,2018-09-12,262.4
Sell,2018-11-19,184.6
Buy,2019-01-30,174.6
Sell,2019-03-08,181.2
Buy,2019-04-15,231.75
Sell,2019-06-06,169.7
Buy,2019-06-18,158.3
Sell,2019-07-02,163.75
Buy,2019-07-30,133.45
Sell,2019-10-30,171.9
Buy,2019-12-12,173.35
Sell,2020-01-08,182.55
Buy,2020-02-01,165.6
Sell,2020-05-29,87.0
Buy,2020-07-14,105.15
Sell,2020-08-21,120.9
Buy,2020-09-14,148.55
Sell,2020-11-18,173.5
Buy,2021-05-05,291.5
Sell,2021-11-08,501.4
Buy,2022-02-09,501.25
Sell,2022-07-20,453.45
Buy,2022-10-06,414.1
Sell,2022-12-01,438.25
Buy,2022-12-23,378.35
Sell,2023-09-08,627.25
Buy,2023-12-05,708.95
Sell,2024-01-01,790.6
Buy,2024-03-19,957.75
Sell,2024-04-09,1008.5
Buy,2024-05-14,964.65
Sell,2024-07-10,1005.5
