0,1,2
Buy,2010-01-29,362.45
Sell,2010-04-20,388.69
Buy,2010-05-11,372.35
Sell,2010-06-25,373.43
Buy,2010-09-30,456.36
Sell,2010-12-31,573.88
Buy,2011-01-14,551.48
Sell,2011-03-30,567.14
Buy,2011-05-23,574.32
Sell,2011-06-20,526.45
Buy,2011-08-22,451.98
Sell,2011-12-08,579.76
Buy,2011-12-29,573.91
Sell,2012-01-16,546.19
Buy,2012-05-14,603.57
Sell,2012-05-31,613.12
Buy,2012-06-18,618.93
Sell,2012-07-05,610.78
Buy,2012-08-30,673.08
Sell,2012-09-10,675.2
Buy,2012-11-21,631.26
Sell,2012-12-07,622.37
Buy,2013-01-31,661.76
Sell,2013-04-25,690.39
Buy,2013-07-22,859.85
Sell,2013-09-10,978.69
Buy,2013-10-04,1001.19
Sell,2013-10-23,1014.76
Buy,2013-11-18,1006.31
Sell,2014-01-17,1089.54
Buy,2014-05-05,1089.86
Sell,2014-06-11,1086.54
Buy,2014-07-16,1182.49
Sell,2014-11-07,1286.43
Buy,2014-11-25,1318.0
Sell,2015-01-01,1272.78
Buy,2015-06-08,1288.72
Sell,2015-07-06,1316.65
Buy,2015-09-23,1266.33
Sell,2015-10-21,1265.0
Buy,2015-12-09,1183.83
Sell,2015-12-28,1231.35
Buy,2016-01-20,1140.05
Sell,2016-03-11,1182.63
Buy,2016-05-02,1263.35
Sell,2016-06-09,1288.63
Buy,2016-08-09,1325.1
Sell,2016-08-29,1250.28
Buy,2016-11-08,1141.6
Sell,2016-12-12,1104.1
Buy,2017-01-30,1166.45
Sell,2017-02-08,1135.48
Buy,2017-03-09,1259.88
Sell,2017-04-07,1214.53
Buy,2017-08-03,1244.73
Sell,2017-09-11,1227.23
Buy,2017-09-27,1247.5
Sell,2017-11-30,1318.5
Buy,2018-02-06,1498.63
Sell,2018-04-11,1507.08
Buy,2018-05-21,1778.38
Sell,2018-06-14,1787.55
Buy,2018-07-17,2002.15
Sell,2018-07-31,1940.2
Buy,2018-09-12,2043.95
Sell,2018-11-19,1902.45
Buy,2019-01-30,1981.4
Sell,2019-03-08,2022.7
Buy,2019-04-15,2113.3
Sell,2019-06-06,2166.1
Buy,2019-06-18,2250.85
Sell,2019-07-02,2252.1
Buy,2019-07-30,2179.15
Sell,2019-10-30,2252.8
Buy,2019-12-12,2020.9
Sell,2020-01-08,2255.25
Buy,2020-02-01,2164.85
Sell,2020-05-29,1972.35
Buy,2020-07-14,2171.95
Sell,2020-08-21,2248.6
Buy,2020-09-14,2491.4
Sell,2020-11-18,2626.65
Buy,2021-05-05,3095.7
Sell,2021-11-08,3502.75
Buy,2022-02-09,3760.55
Sell,2022-07-20,3164.8
Buy,2022-10-06,3101.95
Sell,2022-12-01,3475.65
Buy,2022-12-23,3228.35
Sell,2023-09-08,3441.9
Buy,2023-12-05,3531.6
Sell,2024-01-01,3811.1
Buy,2024-03-19,3977.3
Sell,2024-04-09,3946.55
Buy,2024-05-14,3901.2
Sell,2024-07-10,3909.15
