0,1,2
Buy,2010-01-29,1.0702
Sell,2010-04-20,0.99825
Buy,2010-05-11,1.0205
Sell,2010-06-25,1.0348
Buy,2010-09-30,1.0305
Sell,2010-12-31,0.99753
Buy,2011-01-14,0.99034
Sell,2011-03-30,0.97194
Buy,2011-05-23,0.97839
Sell,2011-06-20,0.97867
Buy,2011-08-22,0.99036
Sell,2011-12-08,1.02258
Buy,2011-12-29,1.02055
Sell,2012-01-16,1.01765
Buy,2012-05-14,1.00227
Sell,2012-05-31,1.0331
Buy,2012-06-18,1.02224
Sell,2012-07-05,1.01436
Buy,2012-08-30,0.99286
Sell,2012-09-10,0.97687
Buy,2012-11-21,0.99595
Sell,2012-12-07,0.98824
Buy,2013-01-31,0.99685
Sell,2013-04-25,1.02027
Buy,2013-07-22,1.03365
Sell,2013-09-10,1.03535
Buy,2013-10-04,1.0292
Sell,2013-10-23,1.03808
Buy,2013-11-18,1.04318
Sell,2014-01-17,1.0959
Buy,2014-05-05,1.09583
Sell,2014-06-11,1.08686
Buy,2014-07-16,1.07376
Sell,2014-11-07,1.13275
Buy,2014-11-25,1.12489
Sell,2015-01-01,1.16158
Buy,2015-06-08,1.24117
Sell,2015-07-06,1.26607
Buy,2015-09-23,1.33263
Sell,2015-10-21,1.31341
Buy,2015-12-09,1.35674
Sell,2015-12-28,1.38946
Buy,2016-01-20,1.44706
Sell,2016-03-11,1.3214
Buy,2016-05-02,1.25304
Sell,2016-06-09,1.27311
Buy,2016-08-09,1.31174
Sell,2016-08-29,1.30132
Buy,2016-11-08,1.32964
Sell,2016-12-12,1.31267
Buy,2017-01-30,1.31033
Sell,2017-02-08,1.31464
Buy,2017-03-09,1.35061
Sell,2017-04-07,1.34003
Buy,2017-08-03,1.25686
Sell,2017-09-11,1.21081
Buy,2017-09-27,1.24833
Sell,2017-11-30,1.28936
Buy,2018-02-06,1.25047
Sell,2018-04-11,1.25699
Buy,2018-05-21,1.2776
Sell,2018-06-14,1.31161
Buy,2018-07-17,1.32031
Sell,2018-07-31,1.30185
Buy,2018-09-12,1.30018
Sell,2018-11-19,1.31716
Buy,2019-01-30,1.3143
Sell,2019-03-08,1.34189
Buy,2019-04-15,1.3369
Sell,2019-06-06,1.33565
Buy,2019-06-18,1.33728
Sell,2019-07-02,1.30995
Buy,2019-07-30,1.31482
Sell,2019-10-30,1.31655
Buy,2019-12-12,1.31538
Sell,2020-01-08,1.30358
Buy,2020-02-03,1.32952
Sell,2020-05-29,1.3766
Buy,2020-07-14,1.35987
Sell,2020-08-21,1.3173
Buy,2020-09-14,1.31764
Sell,2020-11-18,1.30883
Buy,2021-05-05,1.22686
Sell,2021-11-08,1.24421
Buy,2022-02-09,1.26758
Sell,2022-07-20,1.28863
Buy,2022-10-06,1.37411
Sell,2022-12-01,1.34353
Buy,2022-12-23,1.35939
Sell,2023-09-08,1.36354
Buy,2023-12-05,1.35919
Sell,2024-01-01,1.32442
Buy,2024-03-19,1.35745
Sell,2024-04-09,1.35729
Buy,2024-05-14,1.36534
Sell,2024-07-10,1.36183
