0,1,2
Buy,2010-01-29,90.26
Sell,2010-04-20,93.12
Buy,2010-05-11,92.805
Sell,2010-06-25,89.235
Buy,2010-09-30,83.505
Sell,2010-12-31,81.119
Buy,2011-01-14,82.837
Sell,2011-03-30,83.139
Buy,2011-05-23,81.98
Sell,2011-06-20,80.198
Buy,2011-08-22,76.922
Sell,2011-12-08,77.681
Buy,2011-12-29,77.667
Sell,2012-01-16,76.827
Buy,2012-05-14,79.864
Sell,2012-05-31,78.548
Buy,2012-06-18,79.02
Sell,2012-07-05,79.865
Buy,2012-08-30,78.536
Sell,2012-09-10,78.235
Buy,2012-11-21,82.573
Sell,2012-12-07,82.486
Buy,2013-01-31,91.711
Sell,2013-04-25,99.336
Buy,2013-07-22,99.326
Sell,2013-09-10,100.297
Buy,2013-10-04,97.462
Sell,2013-10-23,97.429
Buy,2013-11-18,99.865
Sell,2014-01-17,104.224
Buy,2014-05-05,102.14
Sell,2014-06-11,102.0
Buy,2014-07-16,101.643
Sell,2014-11-07,114.576
Buy,2014-11-25,117.804
Sell,2015-01-01,119.885
Buy,2015-06-08,124.58
Sell,2015-07-06,122.666
Buy,2015-09-23,120.224
Sell,2015-10-21,119.86
Buy,2015-12-09,121.692
Sell,2015-12-28,120.342
Buy,2016-01-20,117.198
Sell,2016-03-11,113.838
Buy,2016-05-02,106.41
Sell,2016-06-09,107.111
Buy,2016-08-09,101.927
Sell,2016-08-29,101.835
Buy,2016-11-08,104.979
Sell,2016-12-12,114.976
Buy,2017-01-30,113.683
Sell,2017-02-08,111.968
Buy,2017-03-09,115.142
Sell,2017-04-07,111.068
Buy,2017-08-03,109.889
Sell,2017-09-11,109.4
Buy,2017-09-27,112.886
Sell,2017-11-30,112.588
Buy,2018-02-06,109.627
Sell,2018-04-11,106.825
Buy,2018-05-21,110.998
Sell,2018-06-14,110.637
Buy,2018-07-17,113.019
Sell,2018-07-31,111.833
Buy,2018-09-12,111.215
Sell,2018-11-19,112.454
Buy,2019-01-30,108.977
Sell,2019-03-08,111.156
Buy,2019-04-15,111.949
Sell,2019-06-06,108.456
Buy,2019-06-18,108.582
Sell,2019-07-02,107.834
Buy,2019-07-30,108.565
Sell,2019-10-30,108.798
Buy,2019-12-12,109.405
Sell,2020-01-08,109.037
Buy,2020-02-03,108.619
Sell,2020-05-29,107.767
Buy,2020-07-14,107.246
Sell,2020-08-21,105.783
Buy,2020-09-14,105.728
Sell,2020-11-18,103.894
Buy,2021-05-05,109.22
Sell,2021-11-08,113.255
Buy,2022-02-09,115.598
Sell,2022-07-20,138.416
Buy,2022-10-06,145.042
Sell,2022-12-01,135.149
Buy,2022-12-23,132.872
Sell,2023-09-08,147.798
Buy,2023-12-05,147.184
Sell,2024-01-01,141.11
Buy,2024-03-19,151.023
Sell,2024-04-09,151.776
Buy,2024-05-14,156.521
Sell,2024-07-10,161.592
